题名,摘要,关键词,发表年份,作者,单位,文献来源,中图分类号
基于网络文本分析的患者在线心理健康服务择医偏好研究, 目的/意义分析在线心理健康服务的评论文本，识别患者在线心理健康服务择医偏好并提出对策建议。方法/过程以壹点灵平台为例，采用内容分析法，形成择医偏好指标集，使用隐含狄利克雷分布模型确定偏好主题；使用逻辑回归分类法和情感分析法识别文本评论的主题并计算各主题在线情感得分；基于解释现象学分析法识别患者择医偏好主题类别并提出改进建议。结果/结论将患者在线心理健康服务择医偏好分为3个维度9个细分主题，可为提升在线心理健康服务的质量和满意度提供指导和参考。,在线心理健康服务;;择医偏好;;在线评论;;隐含狄利克雷分布模型;;情感分析;,2024/12/25,周婧涵;胡银环;冯显东;刘莎,华中科技大学同济医学院医药卫生管理学院,医学信息学杂志,R-05;TP391.1
智慧中药房标准体系建设研究与思考, 目的/意义探索智慧中药房标准化管理模式及标准体系建设。方法/过程分析智慧中药房建设面临形势及发展现状，结合管理实际，引入标准化管理的理念和方法，规范智慧中药房建设。结果/结论以标准化理论为指导，将标准化管理理论与中药药事服务深度融合，实现中药房精细化、规范化管理；提出管理、流程和工作标准化的智慧中药房管理模式，设计和提出智慧中药房标准体系框架，用于指导和引领智慧中药房标准化建设。,智慧中药房;;标准体系;;管理模式;,2024/12/25,袁良志;肖勇;常凯;邓文萍;马红敏,1.湖北中医药大学;2.湖北时珍实验室,医学信息学杂志,R288;TP399
基于PADIS指南的知识图谱构建研究, 目的/意义构建基于临床实践谵妄指南的知识图谱，旨在为提升医护人员对指南的依从性提供方法学参考。方法/过程基于知识图谱构建方法，以指南为主要数据来源，基于指南知识架构和专家意见构建本体；采用三元组数据模型进行知识表示；采用“BIOES”标注体系进行人工标注，包含实体、关系和属性等；利用图形数据库Neo4j实现知识图谱的可视化。结果/结论所构建的知识图谱包含112种实体类型和16种实体间关系，形成124个三元组，用于描述实体之间的关系、实体的属性及其对应的属性值。未来研究将进一步探索深度学习等模型在知识抽取中的应用，并探究指南自更新机制，以适应当前医学领域指南快速更新的现状。,护理管理;;临床实践指南;;依从性;;临床护理决策支持系统;;知识图谱;,2024/12/25,张山;陆观;刘璐;王慧莹;吴瑛,1.首都医科大学护理学院;2.上海卓越睿新数码科技股份有限公司,医学信息学杂志,TP391.1;R-05
主动健康理念下社区居民健康管理系统设计与实践, 目的/意义构建以主动健康为主要特色的社区居民健康管理系统，解决当前社区居民健康管理中存在的缺乏连续动态跟踪与个性化干预手段等问题。方法/过程综合运用多生理参数采集、物联网、移动互联网、健康大数据等技术手段，对采集的数据进行分析，进而实现健康预警，通过制定并实施保健处方，进行主动健康干预。系统能够连续动态地跟踪社区居民个体的生理指标，实现社区健康管理的个性化和精准化。结果/结论该系统有效提供了连续动态的健康监测服务，有助于对健康风险进行精准评估与预测，其主动健康特色对社区居民个体及整个社区的健康管理产生了积极影响。,主动健康;;健康管理;;大数据分析;;健康预警;;保健处方;,2024/12/25,丁佳俊;李建华,1.上海市青浦区卫生健康事业发展中心;2.上海健康医学院,医学信息学杂志,R-05;TP315
新医科背景下的智能思政研究——以“计算机导论”课程为例, 目的/意义培养兼具医学与计算机科学知识的复合型人才，将思政要素全面融入医学生数据素养教育体系。方法/过程以医学生数据素养教育智能思政为目标，设计一种融合成果导向教育理念与支架式教学理念的多元融通智能思政教学模式，并将其应用于“计算机导论”课程教学中，通过学评融合收集两年教学反馈信息。结果/结论相较于传统教学模式，多元融通智能思政教学模式提升了学生对课程的整体满意度，具有可行性，可为后续医学生数据素养培育中的智能思政设计和实施提供参考。,智能思政;;成果导向教育理念;;支架式教学理念;;医学生;;数据素养培育;;学评融合;,2024/12/25,孙月萍;侯丽;刘燕;康宏宇;郭臻,中国医学科学院/北京协和医学院医学信息研究所,医学信息学杂志,G641;TP3-4
基于决策树模型的青光眼住院费用DRG分组实证研究," 目的/意义探讨上海市青光眼患者的DRG分组和相应住院费用标准，为医疗机构合理控制住院费用提供方法学依据。方法/过程提取2022年1月1日—2023年12月31日主要诊断为青光眼的住院患者相关数据，通过单因素分析和多元线性回归初筛分类节点变量。运用数据挖掘技术中决策树模型探讨青光眼住院患者的DRG分组方案、住院费用标准及病种权重，利用变异系数、方差膨胀因子、秩和检验测试模型效能。结果/结论基于决策树模型建立的青光眼患者DRG分组具有较高的组内同质性，有无并发症、出院情况作为分类节点变量，病例组合的变异系数为0.33～0.75,均小于1。最终形成4个住院费用标准和病种权重方案，整体较为合理，为医疗资源合理配置提供参考依据。",决策树模型;;青光眼;;住院费用;;DRG;,2024/12/25,袁筱祺;董笑;赵爽,1.上海市第一人民医院医务处;2.上海市第一人民医院肿瘤科,医学信息学杂志,R197.32
基于BERTopic模型的医学人工智能研究主题挖掘及演化特征分析, 目的/意义探究近十年(2014—2023年)医学人工智能领域的研究主题及其发展趋势，为相关研究决策提供参考。方法/过程从PubMed和Web of Science数据库中获取2014—2023年医学人工智能相关文献题录152 398条，使用BERTopic模型挖掘文献的研究主题，并依据文献信息逻辑增长规律，划分医学人工智能发展阶段，进而分析研究主题的演化特征。结果/结论医学人工智能领域包含生物信息分析、外科手术机器人、医学影像分析等22个主要研究方向。深度学习技术突破、医疗需求增长以及突发公共卫生事件等多重因素共同推动医学人工智能研究的持续扩展和深化。近年来生成式人工智能为医学人工智能领域研究注入新的活力。,医学人工智能;;BERTopic;;主题挖掘;;主题演化;;生成式人工智能;,2024/12/4 8:30,牛振东;和晓峰;刘晓琦;段永恒;胡德华,1.中南大学生命科学学院;2.深圳市卫生健康发展研究和数据管理中心,医学信息学杂志,TP18;R318;TP391.1
基于二分网络表示学习的医学实体关系预测研究, 目的/意义探讨网络表示学习与链路预测在挖掘潜在医学实体关系方面的应用，为医学知识发现研究提供新视角。方法/过程从PubMed数据库获取文献摘要，利用“主语-行为-宾语”语义挖掘方案识别疾病与药物治疗信息，抽取药物实体与疾病实体，构建“药物-疾病”二分网络，综合运用社会网络分析、网络表示学习、机器学习方法分析网络结构及节点特征，挖掘医学实体间的潜在联系。结果/结论二分网络表示学习方法能够揭示药物与疾病的关联知识，获取治疗疾病的关键药物，可为用药治疗提供可行性方案。,二分网络;;“主语-行为-宾语”语义挖掘;;网络表示学习;;机器学习;;医学知识发现;,2024/12/3 14:41,吴胜男;吴佳辉;董继宗;蒋环宇;王璐琦,1.山西医科大学管理学院;2.山西医科大学基础医学院,医学信息学杂志,TP181;R-05
基于数据挖掘和网络药理学探析肝癌的用药规律及作用机制, 目的/意义通过数据挖掘技术和网络药理学方法探析中药复方专利治疗肝癌的用药规律及其核心对药的作用机制。方法/过程建立肝癌复方专利数据库，采用Excel、SPSS Modeler、Cytoscape、Origin、RStudio进行频数、功效、性味归经、聚类及关联规则分析，挖掘用药规律和核心对药。利用TCMSP、OMIM、GeneCards等数据库收集药物有效活性成分、作用靶点及肝癌相关疾病靶点，通过STRING数据库收集交集靶点、关键靶点和蛋白质互作网络，运用微生信平台和分子对接技术，对有效活性成分与关键基因的结合性能进行富集分析及预测。结果/结论中药复方专利治疗肝癌用药重在肝脾并调以扶其正，同时辅以解毒抑癌、活血化瘀的策略以消除病邪。黄芪、半枝莲可通过多成分、多靶点、多途径的综合作用机制治疗肝癌。,肝癌;;数据挖掘;;黄芪;;半枝莲;;网络药理学;;分子对接;,2024/12/3 14:34,洪天琪;杨笑亚;张慧燕;葛凯莉;薛洋洋,1.广州中医药大学第四临床医学院;2.深圳市中医院,医学信息学杂志,TP311.13;R273
基于内容分析法的慢性病健康管理信息化特征研究, 目的/意义 了解慢性病健康管理信息化特征，为完善健康管理信息化模式提供借鉴。方法/过程 系统检索中国知网、万方数据、维普网、中国生物医学文献服务系统、PubMed、Web of Science 6大文献检索平台自建库至2024年6月13日发表的相关文献，运用DiVoMiner<sup>?</sup>平台对纳入的文献文本进行内容分析。结果/结论 共纳入114篇文献，通过内容编码发现，慢性病健康管理信息化呈现出服务流程全面化的特征，但健康风险预测、心理方面的信息采集、健康信息互联互通仍需加强。,慢性病;;信息化;;健康管理;;内容分析法;,2024/11/29 15:12,向聪;高小莲;熊钱芬;王鹤情;罗燕玲,1.湖北中医药大学护理学院;2.湖北时珍实验室;3.湖北省中医院肝病研究所/中医肝肾研究及应用湖北省重点实验室;4.湖北中医药大学附属医院;5.湖北省中医药研究院,医学信息学杂志,TP391.1;R-05
